"trait","meanImp","medianImp","minImp","maxImp","normHits","decision"
"top.intensity.vis.rgb.green.mean.26",0.125125187813048,0,0,1.00100150250438,0,"Rejected"
"top.intensity.fluo.hsv.h.mean.26",0.0601012318069612,0,0,1.26212586794619,0.00066711140760507,"Rejected"
"top.intensity.fluo.hsv.v.mean.26",0.391546110738705,0,0,1.65367390947311,0.00533689126084056,"Rejected"
"top.intensity.fluo.hsv.s.mean.26",0.250250375626096,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.branchpoint.count.27",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.geometry.fluo.border.length..px..27",0.500500751252192,0.500500751252191,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.circumcircle.d..px..27",0.381333905715955,0,0,1.00100150250438,0.00066711140760507,"Rejected"
"top.geometry.fluo.hull.centroid.y..px..27",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.centroid.x..px..27",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.area..px..27",0.394511548316454,0,0,1.62252917764173,0.00200133422281521,"Rejected"
"top.geometry.fluo.hull.compactness.16.27",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.circularity.27",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.length.27",0.186493953316207,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.fillgrade.....27",0.125125187813048,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.compactness.16.27",0,0,0,0,0,"Rejected"
"top.geometry.fluo.area..px.2..27",0.344592547177425,0,0,1.41705050316284,0.00266844563042028,"Rejected"
"top.geometry.fluo.leaf.length.mean..px..27",0,0,0,0,0,"Rejected"
"top.geometry.fluo.leaf.curvature.avg.27",0.187687781719572,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.leaf.count.27",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.points.27",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.leaf.width.mean..px..27",0,0,0,0,0,"Rejected"
"top.geometry.fluo.minrectangle.length.b..px..27",0.248374086586057,0,0,1.39192550659477,0.00200133422281521,"Rejected"
"top.geometry.fluo.minrectangle.length.a..px..27",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.pc2..px..27",0.354690560607388,0,0,1.41325714202299,0.00333555703802535,"Rejected"
"top.geometry.fluo.hull.pc1..px..27",0.192629407277616,0,0,1.15913352036179,0.00266844563042028,"Rejected"
"top.geometry.vis.leaftip.count..leaftips..27",0,0,0,0,0,"Rejected"
"top.intensity.fluo.lab.b.mean.27",0.745795330351758,1.00100150250438,0,2.81244940969599,0.534356237491661,"Confirmed"
"top.intensity.fluo.lab.a.mean.27",0.60629483937853,1.00100150250438,-1.00100150250438,2.39867432005394,0.275517011340894,"Rejected"
"top.intensity.fluo.lab.l.mean.27",0.773510871117167,1.00100150250438,-1.00100150250438,2.43305437095579,0.541027351567712,"Confirmed"
"top.intensity.vis.hsv.h.brown2green.27",0.125125187813048,0,0,1.00100150250438,0,"Rejected"
"top.intensity.nir.mean.27",2.63631477522899,2.63525144178251,1.00100150250438,4.20731731010535,0.999332888592395,"Confirmed"
"top.intensity.vis.hsv.h.red2green.27",0,0,0,0,0,"Rejected"
"top.intensity.vis.hsv.s.mean.27",3.73397586902529,3.73305347170593,1.91911470886125,5.26237602666462,1,"Confirmed"
"top.intensity.vis.hsv.h.yellow2green.27",0.125125187813048,0,-3.37569878617012e-15,1.00100150250438,0,"Rejected"
"top.intensity.vis.hsv.h.mean.27",0.305235655088742,0,0,1.40494124434167,0.00066711140760507,"Rejected"
"top.intensity.fluo.intensity.mean.27",0.604441090068205,1.00100150250438,-1.00100150250438,2.42607287763059,0.310206804536358,"Rejected"
"top.intensity.vis.lab.a.mean.27",0.797637687532441,1.00100150250438,-1.00100150250438,2.23612875826159,0.561707805203469,"Confirmed"
